item,n_sample_age,n_known_age,prop_known_age
bratranec,32,32,1
breakdance,51,51,1
brečet,30,30,1
broklyně,44,8,0.18181818181818182
brokolice,39,39,1
bronzová,37,37,1
bronzový,31,31,1
broskev,39,39,1
broskvoň,34,33,0.9705882352941176
bruslit,43,42,0.9767441860465116
brutální,30,30,1
brzká,37,36,0.972972972972973
brzký,37,37,1
brácha,37,37,1
bránit,31,31,1
brát,51,51,1
brýlatá,51,51,1
brýlatý,44,44,1
brýle,42,42,1
buben,38,38,1
buchta,36,36,1
buddhismus,32,32,1
buddhista,55,55,1
buddhistka,46,46,1
budík,33,33,1
buk,30,30,1
bulta,32,4,0.125
bulvární,34,34,1
bumerang,41,41,1
bunda,37,37,1
burza,51,51,1
buřt,44,44,1
bydlet,43,42,0.9767441860465116
byznys,31,31,1
báseň,37,37,1
básník,30,30,1
básnířka,37,37,1
bát se,35,35,1
bázlivost,34,33,0.9705882352941176
béžová,32,32,1
béžový,43,42,0.9767441860465116
bílá,44,44,1
bílý,37,37,1
býk,75,75,1
býložravec,49,49,1
být,36,36,1
běhat,43,43,1
běženec,29,28,0.9655172413793104
běženkyně,37,37,1
běžet,49,49,1
běžkování,31,31,1
břicho,34,34,1
bříza,46,46,1
bůh,37,37,1
celebrita,51,51,1
celer,34,34,1
centralismus,43,40,0.9302325581395349
centrum,31,31,1
cesta,37,37,1
chalupa,55,55,1
chameleon,42,42,1
chamtivost,51,51,1
chaotická,30,30,1
chaotický,36,36,1
chat,31,31,1
chata,33,33,1
chatovat,46,46,1
chcát,46,46,1
chemie,37,37,1
chilli,34,34,1
chipsy,51,51,1
chirurg,37,37,1
chirurgyně,34,33,0.9705882352941176
chladná,35,35,1
chladný,33,33,1
chlastat,32,32,1
chleba,36,36,1
chlup,37,37,1
chlupatá,51,51,1
chlupatý,44,44,1
chobotnice,30,30,1
chodidlo,75,75,1
chodit,33,33,1
cholerická,37,37,1
cholerický,31,31,1
chopatá,37,3,0.08108108108108109
choreograf,37,37,1
choreografka,49,49,1
choť,33,33,1
chroplas,234,37,0.1581196581196581
chryzantéma,29,29,1
chrám,43,43,1
chránit,36,36,1
chtít,46,46,1
chudá,43,43,1
chudý,32,32,1
chutnat,32,32,1
chutná,31,31,1
chutný,30,30,1
chuť,36,36,1
chybět,33,33,1
chytrá,43,43,1
chytrý,32,32,1
chápat,34,34,1
chřest,41,41,1
chřipka,32,32,1
ciblamná,37,4,0.10810810810810811
cibule,39,39,1
cigareta,74,74,1
cirkus,29,29,1
citlivá,37,37,1
citlivý,51,51,1
citron,41,41,1
civilizace,44,44,1
cizinec,36,36,1
cizinka,33,33,1
cizí,34,33,0.9705882352941176
cola,51,51,1
country,43,43,1
coura,51,51,1
covid,55,55,1
ctnost,32,32,1
cukr,55,55,1
cukrář,33,33,1
cukrářka,51,51,1
cvičit,37,37,1
cyklista,51,51,1
cyklistka,31,31,1
cédéčko,46,46,1
církev,37,37,1
císařství,37,37,1
cítit,32,32,1
dabing,44,44,1
dahela,34,2,0.058823529411764705
dalekohled,38,38,1
darebačka,33,33,1
darebák,29,29,1
daň,44,44,1
dcera,33,33,1
dealer,34,34,1
dealerka,55,55,1
dealovat,35,35,1
