item,n_sample_age,n_known_age,prop_known_age
lživý,34,34,1
lžička,39,39,1
lžíce,36,36,1
magistrát,43,43,1
magnet,42,42,1
magnetofon,51,51,1
majoránka,33,33,1
maják,38,38,1
make-up,37,37,1
makléř,37,37,1
makléřka,33,33,1
makrobiotik,46,40,0.8695652173913043
makrobiotička,34,32,0.9411764705882353
malovat,51,51,1
malá,44,44,1
malárie,30,30,1
malíř,39,39,1
malý,37,37,1
mamlas,36,36,1
manažer,49,49,1
manažerka,33,33,1
manikér,32,32,1
manikérka,37,37,1
manšestráky,37,37,1
manžel,37,37,1
manželka,33,33,1
mapa,38,38,1
marihuana,37,37,1
marketing,36,36,1
mars,51,51,1
marxismus,43,40,0.9302325581395349
maska,39,39,1
maskér,34,34,1
maskérka,51,51,1
maso,76,76,1
masová,37,37,1
masový,36,36,1
masožravec,31,31,1
mastná,37,37,1
mastný,36,36,1
masturbace,33,33,1
masáž,46,46,1
masírovat,30,30,1
matematik,51,51,1
matematika,51,51,1
matematička,36,36,1
matka,36,36,1
maturovat,32,32,1
mazlíček,37,37,1
mazurka,37,34,0.918918918918919
mech,51,51,1
mechanik,37,37,1
mechanička,34,34,1
med,42,42,1
medaile,41,41,1
meditovat,51,51,1
medvěd,83,83,1
medvědice,32,32,1
medúza,69,69,1
melancholická,33,33,1
melancholický,36,36,1
meloun,42,42,1
menstruace,29,29,1
menšina,32,32,1
metal,34,33,0.9705882352941176
metalop,51,5,0.09803921568627451
metropole,37,37,1
mezinárodní,55,55,1
meč,82,82,1
mešita,36,36,1
migrace,37,37,1
migrant,55,54,0.9818181818181818
migrantka,43,43,1
mikina,44,44,1
mikrofon,39,39,1
mikroskop,41,41,1
miliardář,31,31,1
miliardářka,44,44,1
milionář,37,37,1
milionářka,29,29,1
milosrdná,34,33,0.9705882352941176
milosrdný,51,51,1
milovat,37,37,1
mim,41,39,0.9512195121951219
mimino,42,42,1
mince,42,42,1
ministerstvo,46,46,1
ministr,32,32,1
ministryně,30,30,1
minisukně,36,36,1
mičný,33,9,0.2727272727272727
mladá,34,34,1
mladý,43,43,1
mlaskat,31,31,1
mlha,36,36,1
mluvit,43,43,1
mládí,37,37,1
mléko,76,76,1
mlít,51,50,0.9803921568627451
mlýn,39,39,1
mlčet,32,32,1
mnich,49,49,1
mniška,37,37,1
mobil,31,31,1
mobilní,32,32,1
moct,55,54,0.9818181818181818
model,37,37,1
modelka,36,36,1
modernismus,32,32,1
moderní,51,51,1
modlit se,44,44,1
modrá,32,32,1
modrý,43,42,0.9767441860465116
modřina,37,37,1
modřín,37,37,1
mokrá,33,33,1
mokrý,37,37,1
monarchie,46,46,1
monitor,43,42,0.9767441860465116
montérky,51,51,1
mop,36,36,1
mor,29,29,1
morče,34,34,1
most,39,39,1
motor,41,41,1
motorka,33,33,1
motyka,32,32,1
motýl,42,42,1
moucha,79,78,0.9873417721518988
moudrá,34,34,1
moudrý,31,31,1
moula,37,37,1
mouska,36,4,0.1111111111111111
mozek,76,76,1
moč,37,37,1
moře,44,44,1
mořská panna,39,39,1
mrak,76,75,0.9868421052631579
mrakodrap,43,43,1
mravenec,84,84,1
mrdat,32,32,1
mrkev,85,84,0.9882352941176471
mrož,39,39,1
mrtvice,33,33,1
mrštná,49,49,1
mrštný,37,37,1
mstivá,33,33,1
mstivý,43,42,0.9767441860465116
muchomůrka,72,72,1
multikulturalismus,33,33,1
muset,51,51,1
muslim,36,36,1
muslimka,31,31,1
muzeum,32,32,1
muž,79,79,1
mužská,49,49,1
mužský,33,33,1
myslet,36,36,1
myš,39,39,1
málomluvná,51,51,1
málomluvný,29,29,1
máma,43,43,1
máslo,71,71,1
média,34,34,1
mícha,35,35,1
mír,51,51,1
mírumilovná,30,30,1
mírumilovný,31,31,1
mít,51,51,1
míč,71,71,1
móda,35,35,1
mýdlo,68,68,1
měkká,37,36,0.972972972972973
měkký,33,33,1
měnit,32,32,1
měsná,37,9,0.24324324324324326
město,76,76,1
městská,36,36,1
městský,55,55,1
městys,44,41,0.9318181818181818
měsíc,73,73,1
nabuzená,34,34,1
nabuzený,43,43,1
nabídnout,43,42,0.9767441860465116
nabíječka,32,32,1
nachlazení,46,46,1
nacionalismus,33,33,1
nacismus,36,36,1
naděje,51,51,1
nadřízená,32,32,1
nadřízený,30,30,1
nadšení,29,29,1
naivní,33,33,1
najít,33,33,1
nakupovat,33,33,1
nalíčená,32,32,1
nalíčený,33,33,1
narazit,34,34,1
narkoman,34,34,1
narkomanka,32,32,1
narkotikum,37,37,1
narodit se,36,36,1
narozeniny,32,32,1
naučit,34,34,1
navštívit,43,43,1
nebe,36,36,1
nebeská,36,36,1
nebeský,34,33,0.9705882352941176
nebezpečná,55,55,1
nebezpečný,37,37,1
necky,37,36,0.972972972972973
nedočkavá,37,37,1
nedočkavý,51,51,1
negativní,35,34,0.9714285714285714
nehet,90,90,1
nejistota,29,29,1
nekonečná,51,51,1
nekonečný,31,31,1
nemoc,29,29,1
nemocnice,30,30,1
nemocná,37,37,1
nemocný,33,33,1
nenávidět,51,51,1
nenávist,44,44,1
neohrabaná,51,51,1
neohrabaný,29,29,1
neoliberalismus,33,32,0.9696969696969697
neomarxismus,43,39,0.9069767441860465
nepřítel,37,36,0.972972972972973
nepřítelkyně,37,37,1
nervozita,51,51,1
neskara,43,6,0.13953488372093023
neslyšící,51,51,1
nesmrtelná,43,42,0.9767441860465116
nesmrtelný,32,32,1
nestranná,29,29,1
nestranný,55,55,1
neteř,35,35,1
netopýr,38,38,1
neurolog,36,36,1
neuroložka,33,33,1
neurotická,33,33,1
neurotický,49,48,0.9795918367346939
nevidomá,36,36,1
nevidomý,51,51,1
nevraživost,36,35,0.9722222222222222
nevěrná,43,43,1
nevěrný,34,34,1
nevěstinec,36,36,1
nevěřící,36,36,1
nezaměstnaná,51,51,1
nezaměstnaný,51,51,1
nezisková,36,36,1
neziskový,33,33,1
nikotin,32,32,1
noc,70,70,1
noha,68,68,1
nolní,31,1,0.03225806451612903
nos,72,72,1
nosit,30,30,1
nosorožec,41,41,1
notebook,33,33,1
noviny,75,75,1
novinář,49,49,1
novinářka,37,37,1
novověk,29,29,1
nová,32,32,1
nový,34,34,1
nuda,49,49,1
nudná,37,37,1
nudný,29,29,1
nutit,34,34,1
náboj,39,39,1
náboženská,49,49,1
náboženský,44,44,1
náboženství,55,55,1
nádherná,51,51,1
nádherný,31,31,1
náklaďák,39,39,1
náklonnost,51,51,1
námořnice,36,36,1
námořník,32,32,1
náměstek,49,49,1
náměstkyně,37,37,1
náměstí,34,34,1
nápadná,46,46,1
nápadný,30,30,1
náramek,76,76,1
národ,51,51,1
násilnice,31,31,1
násilnická,51,51,1
násilnický,37,37,1
násilník,37,37,1
násilí,51,51,1
náušnice,76,76,1
návrhář,51,51,1
návrhářka,43,43,1
nést,37,37,1
nízká,55,55,1
nízký,37,36,0.972972972972973
nýska,36,2,0.05555555555555555
němčina,35,35,1
něžná,31,31,1
něžný,55,55,1
nůž,72,72,1
nůžky,41,41,1
obchod,33,33,1
obdélník,74,74,1
objetí,41,41,1
objevit,37,37,1
oblek,46,46,1
oblesaný,33,12,0.36363636363636365
oblečení,51,51,1
obličej,41,41,1
obočí,38,38,1
obr,32,32,1
obraz,75,74,0.9866666666666667
obrna,31,31,1
obryně,36,36,1
obtěžovat,37,37,1
obyčejná,36,35,0.9722222222222222
obyčejný,37,37,1
obálka,39,39,1
obézní,36,36,1
obývák,51,51,1
oběd,46,46,1
obění,33,6,0.18181818181818182
oběť,33,33,1
ocas,34,34,1
ocenit,36,36,1
oceán,49,49,1
odbory,51,51,1
odejít,31,31,1
odlišná,34,33,0.9705882352941176
odlišný,43,42,0.9767441860465116
odmítnout,32,32,1
odmítnutí,36,36,1
odměřená,36,36,1
odměřený,51,51,1
odolná,36,36,1
odolný,51,51,1
odporná,31,31,1
odporný,46,45,0.9782608695652174
odpovědět,37,37,1
odpočívat,34,34,1
odpudivá,36,36,1
odpudivý,35,35,1
odvykat,43,42,0.9767441860465116
ofenzivní,31,31,1
oheň,77,77,1
ohleduplná,51,51,1
ohleduplný,29,29,1
oholená,31,31,1
oholený,46,46,1
ohrožená,30,30,1
ohrožený,36,36,1
okno,72,71,0.9861111111111112
oko,78,78,1
okres,33,33,1
okurka,39,39,1
olej,38,38,1
oligarchie,35,31,0.8857142857142857
oliva,39,39,1
oltář,42,42,1
olympiáda,49,49,1
omezená,55,55,1
omezený,37,37,1
omezit,44,44,1
omáčka,33,33,1
opar,37,37,1
opatrná,43,43,1
opatrný,32,32,1
opatrovnice,33,33,1
opatrovník,51,51,1
opera,43,43,1
operace,46,46,1
operovat,30,30,1
opilá,33,33,1
opilý,49,49,1
opisovat,55,55,1
opozdilá,34,34,1
opozdilý,43,43,1
opravená,36,36,1
opravený,51,51,1
opravit,30,30,1
opravář,32,32,1
opravářka,32,32,1
opuliný,31,1,0.03225806451612903
opálená,29,29,1
opálený,51,51,1
oranžová,33,33,1
oranžový,36,36,1
orat,37,37,1
orchestr,77,77,1
originální,36,36,1
ortodoxní,43,43,1
osamělost,30,30,1
osamělá,36,36,1
osamělý,34,34,1
osel,39,39,1
oslava,33,33,1
ostrov,41,41,1
ostrá,34,34,1
ostrý,37,36,0.972972972972973
osvícenství,32,32,1
osvěžující,35,35,1
otec,35,35,1
otevřená,29,29,1
otevřený,43,43,1
otevřít,43,42,0.9767441860465116
otisk prstu,39,39,1
otužilá,55,55,1
otužilý,34,34,1
otčina,33,26,0.7878787878787878
oudolňas,31,2,0.06451612903225806
ovanit,55,7,0.12727272727272726
ovce,70,70,1
ovlivňovat,29,29,1
ovládat,37,37,1
ovoce,70,70,1
očekávat,51,51,1
ošklivá,32,32,1
ošklivý,51,50,0.9803921568627451
padat,46,46,1
padák,42,42,1
palec,41,41,1
palma,32,32,1
pamatovat,31,31,1
pampeliška,33,33,1
pandemie,30,30,1
panelák,30,30,1
panenka,90,90,1
panenství,34,34,1
panictví,37,37,1
panika,36,36,1
panovat,37,37,1
papež,33,33,1
papežka,31,29,0.9354838709677419
papoušek,42,42,1
paprika,39,39,1
papír,36,36,1
paranoia,33,33,1
parfém,38,38,1
park,71,71,1
parkinson,51,50,0.9803921568627451
parlament,37,36,0.972972972972973
parník,44,44,1
partner,31,31,1
partnerka,34,34,1
paruka,42,42,1
pasivní,34,34,1
pastýř,38,38,1
pata,30,30,1
patriot,35,35,1
patriotka,49,47,0.9591836734693877
patřit,37,37,1
pavouk,87,87,1
paže,90,90,1
pedofil,34,34,1
pedofilka,51,50,0.9803921568627451
pekař,33,33,1
pekařka,36,36,1
pelikán,38,38,1
penis,37,37,1
penze,51,51,1
penál,70,70,1
peníze,46,46,1
pepř,37,37,1
periferie,37,36,0.972972972972973
perspektivní,43,43,1
persémní,34,3,0.08823529411764706
pervitin,31,31,1
pes,79,79,1
pestrá,36,36,1
pestrý,29,29,1
pevná,37,37,1
pevný,37,37,1
pečlivá,51,51,1
pečlivý,46,46,1
pečovatel,37,37,1
pečovatelka,43,43,1
piha,55,55,1
pihatá,36,36,1
pihatý,36,36,1
pila,42,42,1
pilates,37,37,1
pilot,85,85,1
pilotka,46,46,1
ping-pong,35,35,1
pingulta,36,2,0.05555555555555555
pirát,38,38,1
pistole,85,85,1
pistácie,70,70,1
pitomec,33,33,1
pitomá,43,42,0.9767441860465116
pitomý,36,36,1
pití,36,36,1
pivo,37,37,1
pizza,82,82,1
plachá,51,51,1
plachý,29,29,1
plakat,33,33,1
plastová,37,37,1
plastový,51,51,1
platan,29,26,0.896551724137931
platit,37,37,1
platná,51,51,1
platný,37,37,1
plavat,33,33,1
plavec,39,39,1
plavky,33,33,1
plavčice,36,36,1
plavčík,35,35,1
plena,39,39,1
plešatá,36,36,1
plešatý,33,33,1
plná,37,37,1
plný,51,51,1
plot,41,41,1
ploutev,41,41,1
plánovat,51,51,1
plárt,46,5,0.10869565217391304
plátěná,37,36,0.972972972972973
plátěný,36,36,1
pláštěnka,30,30,1
plášť,39,39,1
plíce,76,76,1
plínstvo,32,4,0.125
plíněný,33,13,0.3939393939393939
pochopit,35,35,1
pochoutka,51,51,1
podařit se,33,33,1
podcast,34,34,1
podměnka,34,7,0.20588235294117646
podnapilá,49,49,1
podnapilý,37,37,1
podnikání,31,31,1
podpatek,39,39,1
podporovat,29,29,1
podprsenka,70,70,1
podrout,55,8,0.14545454545454545
podviživená,33,32,0.9696969696969697
podvodná,36,36,1
podvodný,32,32,1
podvyživený,49,49,1
podvádět,51,51,1
podzim,36,36,1
podílet se,34,33,0.9705882352941176
podřízená,55,55,1
podřízený,37,37,1
poezie,49,49,1
pohorka,43,39,0.9069767441860465
pohoří,33,33,1
pohroma,43,42,0.9767441860465116
pohybovat se,32,32,1
pohádka,43,42,0.9767441860465116
pohár,39,39,1
pohřeb,34,34,1
pojeslit,29,4,0.13793103448275862
pojišťovna,34,34,1
pokladní,55,55,1
pokoj,49,49,1
pokožka,32,32,1
pokroková,33,33,1
pokrokový,46,46,1
pokusit se,36,36,1
pole,31,31,1
polibek,35,35,1
policie,37,37,1
policista,37,37,1
policistka,49,49,1
politik,33,33,1
politička,32,32,1
politologie,37,37,1
polévka,77,77,1
polština,34,34,1
pomalá,35,35,1
pomalý,33,33,1
pomeranč,51,51,1
pomlouvat,51,51,1
pomáhat,36,36,1
ponorka,93,93,1
ponožka,89,89,1
ponurost,43,42,0.9767441860465116
pop,37,37,1
popel,30,30,1
popelář,30,30,1
popelářka,31,31,1
poradit,34,33,0.9705882352941176
porno,37,37,1
posedlost,46,46,1
posilovat,46,46,1
poslanec,51,51,1
poslankyně,29,29,1
poslední,32,32,1
poslouchat,32,32,1
poslušná,55,55,1
poslušný,37,37,1
postavit,44,44,1
postel,39,39,1
postižená,51,51,1
postižený,37,37,1
postmoderna,36,36,1
potrat,36,36,1
potravina,44,44,1
potěcha,37,31,0.8378378378378378
potřebovat,31,31,1
poučovat,34,34,1
poušť,41,41,1
použít,43,42,0.9767441860465116
povinná,35,35,1
povinný,36,36,1
povodeň,43,42,0.9767441860465116
povrchní,51,51,1
povídat si,37,37,1
povídka,36,36,1
pozdní,43,42,0.9767441860465116
pozitivní,51,51,1
pozorná,51,51,1
pozorný,34,33,0.9705882352941176
pozvat,49,49,1
pozřívec,51,9,0.17647058823529413
počítat,44,44,1
počítač,91,91,1
pořádkumilovná,46,46,1
pořádkumilovný,51,51,1
pošťačka,55,55,1
pošťák,87,87,1
požitkářská,31,30,0.967741935483871
požitkářský,31,31,1
požádat,32,32,1
požár,32,32,1
prach,33,33,1
pracovat,37,37,1
pracovitá,36,36,1
pracovitý,34,34,1
prak,34,34,1
praktická,30,30,1
praktický,35,35,1
praktikovat,37,37,1
prales,49,49,1
prase,70,70,1
pravice,31,31,1
pravidlo,44,44,1
pravítko,75,75,1
pravěk,55,54,0.9818181818181818
pračka,38,38,1
prcat,37,37,1
prd,30,30,1
prdel,37,37,1
prdět,36,36,1
prevít,51,50,0.9803921568627451
prevítka,44,27,0.6136363636363636
prezident,36,36,1
prezidentka,51,51,1
primátor,34,34,1
primátorka,49,49,1
princ,31,31,1
princezna,32,32,1
procházet se,30,30,1
prodavač,33,33,1
prodavačka,51,51,1
produktivní,43,43,1
prodávat,43,43,1
programovat,30,30,1
programátor,37,37,1
programátorka,34,34,1
progresivismus,46,45,0.9782608695652174
prohlížeč,36,36,1
prohra,31,31,1
prokrastinovat,29,29,1
prolézačka,51,51,1
prosit,37,37,1
proslulá,43,42,0.9767441860465116
proslulý,43,42,0.9767441860465116
prostata,31,31,1
prostituce,31,31,1
prostitut,33,33,1
prostitutka,35,35,1
prostřední,51,51,1
protestant,33,33,1
protestantka,30,30,1
protestovat,44,44,1
provaz,70,70,1
provinční,34,32,0.9411764705882353
provělo,32,5,0.15625
prošlá,30,30,1
prošlý,34,34,1
prsa,51,51,1
prso,38,38,1
prst,36,36,1
prstýnek,46,46,1
první,46,46,1
právničina,30,30,1
právnička,31,31,1
právník,51,51,1
prázdná,46,46,1
prázdný,36,36,1
próza,43,42,0.9767441860465116
průjem,32,32,1
průmysl,29,29,1
průměrná,31,31,1
průměrný,43,43,1
průvodčí,43,43,1
pstruh,36,36,1
psycholog,31,31,1
psychologie,55,54,0.9818181818181818
psycholožka,35,35,1
psychopat,37,37,1
psychopatka,35,35,1
psát,34,34,1
pták,85,85,1
ptákovina,31,31,1
ptát se,49,49,1
punk,35,35,1
punčocha,36,36,1
pupek,31,31,1
pupík,31,31,1
pupínek,39,39,1
pusa,43,42,0.9767441860465116
puzzle,39,39,1
puč,55,50,0.9090909090909091
puška,73,73,1
puštík,43,38,0.8837209302325582
pyramida,39,39,1
pytel,38,38,1
pyšná,49,49,1
pyšný,31,31,1
pálivá,32,32,1
pálivý,51,51,1
párek,72,72,1
pásek,38,38,1
páteř,35,35,1
péct,35,35,1
péro,51,51,1
pírko,87,86,0.9885057471264368
písek,37,37,1
pískoviště,32,32,1
písnička,34,34,1
pít,37,37,1
píča,33,33,1
píčovina,36,36,1
pěst,39,39,1
předkožka,32,32,1
předkrm,51,51,1
předlavý,43,6,0.13953488372093023
předleva,32,16,0.5
předměno,51,9,0.17647058823529413
přední,34,34,1
předseda,32,32,1
předsedkyně,31,31,1
předčasná,51,51,1
předčasný,31,31,1
přehrada,43,42,0.9767441860465116
překudit,37,6,0.16216216216216217
překvapit,36,36,1
přeložená,33,33,1
přeložený,35,35,1
přemýšlet,32,32,1
přesná,31,31,1
přesnídávka,32,32,1
přesný,51,51,1
přesvědčit,44,44,1
přesvědčivá,35,35,1
přesvědčivý,36,36,1
přežít,37,37,1
přibližná,37,37,1
přibližný,33,33,1
přijmout,35,35,1
přijít,37,37,1
připravovat,31,31,1
připálit,33,33,1
přistěhovalec,51,51,1
přistěhovalkyně,37,37,1
přitažlivá,33,33,1
přitažlivý,35,35,1
přizpůsobivá,35,35,1
přizpůsobivý,30,30,1
přát,33,33,1
příbuzná,32,32,1
příbuzný,37,37,1
přímka,29,29,1
příroda,36,36,1
přírodní,37,37,1
přísná,51,51,1
přísný,37,37,1
přítel,46,46,1
přítelkyně,33,33,1
příšera,42,42,1
pštros,71,70,0.9859154929577465
půda,44,44,1
půjčka,32,32,1
působit,35,35,1
původní,49,49,1
rabín,51,48,0.9411764705882353
rabínka,37,36,0.972972972972973
racek,41,41,1
racionální,36,36,1
radikální,32,32,1
radlava,36,4,0.1111111111111111
radnice,43,43,1
radost,49,49,1
rajče,75,75,1
rak,38,38,1
raketa,68,68,1
rakev,39,39,1
rakovina,33,33,1
rameno,84,84,1
rap,55,55,1
rasismus,31,31,1
realismus,34,34,1
recepční,31,31,1
reklama,34,34,1
relaxovat,34,34,1
remíza,31,31,1
renesance,44,44,1
reportér,29,29,1
reportérka,31,31,1
republika,34,34,1
restaurace,37,37,1
revoluce,34,34,1
režisér,51,51,1
režisérka,32,32,1
riskantní,55,55,1
rituál,43,43,1
robot,42,42,1
rock,32,32,1
rodina,36,36,1
roh,70,69,0.9857142857142858
romantická,51,51,1
romantický,37,37,1
romantismus,43,43,1
román,43,42,0.9767441860465116
ropa,37,37,1
ropucha,42,42,1
rostlina,75,75,1
rovnoprávnost,37,37,1
rovnost,31,31,1
rovná,46,46,1
rovný,51,51,1
rozbitá,31,31,1
rozbitý,51,51,1
rozdrtit,33,33,1
rozdílná,37,36,0.972972972972973
rozdílný,31,31,1
rozhlas,55,55,1
rozhodná,31,31,1
rozhodný,55,55,1
rozhodovat,36,36,1
rozkoš,51,51,1
rozmazlená,51,51,1
rozmazlený,37,37,1
rozporuplná,55,55,1
rozporuplný,33,33,1
roztomilá,33,33,1
roztomilý,51,51,1
rozumět,55,55,1
rozvedená,43,43,1
rozvedený,31,31,1
rozvod,51,51,1
rozvážná,31,31,1
rozvážný,32,32,1
rty,39,39,1
rtěnka,32,32,1
rudá,37,37,1
rudý,31,31,1
ruka,78,78,1
rukavice,39,39,1
rum,35,35,1
ruční,55,55,1
ručník,38,38,1
ruština,33,33,1
ryba,85,85,1
rybář,92,92,1
rybářka,55,55,1
rychlá,36,36,1
rychlý,35,35,1
rytíř,36,36,1
rytířka,36,36,1
rádio,90,90,1
rána,42,42,1
róba,43,42,0.9767441860465116
rým,33,33,1
rýma,49,49,1
rýč,44,44,1
růže,76,76,1
růžová,36,36,1
růžový,33,33,1
sajdkára,33,28,0.8484848484848485
salám,36,36,1
salát,90,90,1
samostatnost,36,36,1
samotářská,31,30,0.967741935483871
samotářský,36,36,1
samoživitel,30,30,1
samoživitelka,32,32,1
sangvinická,46,41,0.8913043478260869
sangvinický,49,46,0.9387755102040817
sanitka,38,38,1
saponát,33,33,1
savec,31,31,1
saxofon,42,42,1
sbor,39,39,1
schizofrenie,36,36,1
schodiště,85,85,1
schovat,37,37,1
scrollovat,33,32,0.9696969696969697
sebejistota,34,34,1
sedmikráska,51,51,1
sedět,46,46,1
sekačka,70,70,1
sekera,39,39,1
selfie,37,37,1
semeno,44,44,1
senior,44,44,1
seniorka,55,55,1
senát,31,31,1
senátor,32,32,1
senátorka,49,49,1
servírovat,37,37,1
sestra,31,31,1
sestřenice,29,29,1
setkat se,49,49,1
sex,36,36,1
sexy,37,37,1
sešit,32,32,1
sešívačka,39,39,1
silnice,42,42,1
silná,51,51,1
silný,32,32,1
simivost,229,24,0.10480349344978165
single,32,32,1
sirup,31,31,1
sitcom,46,46,1
sjezdovat,36,36,1
skateboarding,37,37,1
skatle,37,6,0.16216216216216217
skener,34,34,1
skeptická,34,34,1
skeptický,43,43,1
skladatel,33,33,1
skladatelka,31,31,1
skladba,51,51,1
sklenice,39,39,1
skleník,39,39,1
skleněná,37,37,1
skleněný,37,37,1
sklep,36,36,1
skládka,31,31,1
skončit,37,37,1
skrla,34,0,0
skromná,51,51,1
skromný,32,32,1
skunk,39,39,1
skutečná,31,31,1
skutečný,51,50,0.9803921568627451
skákat,37,37,1
skřítek,43,43,1
skříň,41,41,1
slabá,36,36,1
slabý,34,34,1
sladkost,37,37,1
sladká,34,34,1
sladký,51,51,1
slaná,35,34,0.9714285714285714
slaný,34,34,1
slavit,36,36,1
slená,36,2,0.05555555555555555
slepice,76,76,1
slepá,37,37,1
slepý,55,55,1
sleva,34,34,1
slibovat,29,29,1
slivovice,34,34,1
slizká,37,37,1
slizký,44,44,1
slon,39,39,1
slopat,29,6,0.20689655172413793
sloup,39,39,1
sloužit,32,32,1
slovenština,55,54,0.9818181818181818
sloveso,32,32,1
slovo,29,29,1
slunce,93,93,1
slunečnice,73,73,1
slyšet,44,44,1
slící,34,3,0.08823529411764706
smažit,36,36,1
smetana,37,37,1
smeták,36,36,1
smradlavá,55,55,1
smradlavý,37,37,1
smrdět,51,51,1
smrk,31,31,1
smrt,32,32,1
smrtelná,37,37,1
smrtelný,44,44,1
smutek,46,46,1
smutná,44,44,1
smutný,33,33,1
smyslná,43,42,0.9767441860465116
smyslný,32,32,1
smát se,37,37,1
smích,37,37,1
snacha,51,51,1
snažit se,31,31,1
snobská,51,51,1
snobský,32,32,1
snousla,34,2,0.058823529411764705
snowboarding,31,31,1
snázice,44,10,0.22727272727272727
snášet,51,51,1
snídaně,72,72,1
sníh,75,75,1
sněmovna,36,36,1
sobecká,29,29,1
sobecký,55,55,1
socha,34,34,1
socha svobody,39,39,1
sochař,42,42,1
socialismus,43,43,1
sociologie,34,34,1
sociální síť,43,43,1
software,35,35,1
sojka,36,36,1
sonivá,36,2,0.05555555555555555
sopitý,43,8,0.18604651162790697
sopka,39,39,1
soucitná,37,37,1
soucitný,36,36,1
soud,34,33,0.9705882352941176
soudce,90,90,1
soudkyně,51,51,1
souhlasit,30,30,1
soukromá,31,31,1
soukromý,34,34,1
souložit,31,31,1
soustředit se,31,31,1
souviset,36,36,1
sova,39,39,1
spadnout,30,30,1
spalničky,37,37,1
spartakiáda,34,34,1
spisovatel,36,36,1
spisovatelka,43,43,1
spojovat,37,37,1
spokojenost,32,32,1
společenská,32,32,1
společenský,34,34,1
společnost,36,36,1
společná,51,51,1
společný,49,49,1
spolupracovat,30,30,1
spontánní,37,37,1
sport,37,37,1
sportovat,36,36,1
sporák,33,33,1
spoušť,42,42,1
spoření,43,43,1
spořitelna,43,42,0.9767441860465116
spravedlivá,31,31,1
spravedlivý,34,34,1
sprcha,42,42,1
spát,37,37,1
spíž,36,36,1
spěchat,36,36,1
sračka,43,42,0.9767441860465116
srdce,69,69,1
srna,37,37,1
srát,34,34,1
sráč,51,51,1
starat se,34,34,1
staromódní,46,46,1
starosta,37,37,1
starostka,37,37,1
starostlivá,30,30,1
starostlivý,33,33,1
starověk,30,30,1
start-up,36,35,0.9722222222222222
stará,43,43,1
starý,34,34,1
statečná,34,34,1
statečný,37,37,1
statistik,31,31,1
statistička,51,51,1
stavařství,51,51,1
stavět,31,31,1
stačit,43,43,1
steak,33,33,1
stehno,43,43,1
stejná,32,32,1
stejný,34,33,0.9705882352941176
stevard,43,43,1
stevardka,36,36,1
stihlava,43,11,0.2558139534883721
stodola,33,33,1
stolice,49,49,1
stonat,33,33,1
stopař,32,32,1
stopařka,37,37,1
strach,33,33,1
stravenka,51,51,1
strašák,42,42,1
striptér,37,37,1
striptérka,37,37,1
stroj,37,37,1
strojvedoucí,49,49,1
strojírenství,30,30,1
strom,73,72,0.9863013698630136
strýc,32,32,1
student,34,34,1
studentka,29,29,1
studna,38,38,1
studovat,55,55,1
stydět se,43,42,0.9767441860465116
stárnutí,51,51,1
stát,35,35,1
stáří,43,43,1
stín,82,81,0.9878048780487805
stěhování,44,44,1
střecha,70,70,1
střední,44,44,1
středověk,31,31,1
střevo,51,51,1
stříbrná,33,33,1
stříbrný,32,32,1
střízlivá,37,37,1
střízlivý,31,31,1
stůl,39,39,1
suchá,36,36,1
suchý,30,30,1
sukně,73,73,1
sup,41,40,0.975609756097561
supermarket,32,32,1
surrealismus,37,37,1
sushi,55,55,1
sušenka,39,39,1
sval,46,46,1
svalnatá,31,31,1
svalnatý,30,30,1
svatba,43,43,1
svatá,36,36,1
svatý,32,32,1
svetr,39,39,1
svině,33,33,1
svoboda,55,55,1
svobodná,51,51,1
svobodný,44,44,1
svíčka,38,38,1
světadíl,32,32,1
světlo,43,42,0.9767441860465116
světlá,35,35,1
světlý,33,33,1
světská,31,29,0.9354838709677419
světský,34,34,1
syfilis,44,44,1
sympatická,31,31,1
sympatický,51,51,1
syn,32,32,1
synagoga,36,35,0.9722222222222222
synovec,37,37,1
sypká,36,36,1
sypký,37,37,1
sytá,37,37,1
sytý,37,37,1
sát,49,49,1
sáňky,42,42,1
ségra,37,37,1
sídliště,33,33,1
síť,38,38,1
sójovka,32,32,1
sýr,79,79,1
sůl,73,73,1
tablet,33,33,1
tableta,55,55,1
tabule,33,33,1
tajná,31,31,1
tajný,46,46,1
talmud,30,11,0.36666666666666664
talíř,39,39,1
tampon,33,33,1
tancovat,34,34,1
tanec,37,37,1
tanečnice,36,36,1
tanečník,51,51,1
tank,39,39,1
tarantule,37,37,1
tatarka,46,45,0.9782608695652174
taxikář,30,30,1
taxikářka,36,36,1
taška,38,38,1
tchoř,31,29,0.9354838709677419
tchán,44,44,1
tchýně,36,36,1
technická,30,30,1
technický,46,46,1
technolog,43,43,1
technologie,32,32,1
technoložka,37,37,1
tekutá,37,37,1
tekutý,36,36,1
telefon,39,39,1
telenovela,34,34,1
televize,46,46,1
temná,29,29,1
temný,55,55,1
temperamentní,33,33,1
teniska,43,42,0.9767441860465116
teologie,51,50,0.9803921568627451
teoretická,36,36,1
teoretický,46,46,1
teplomilná,51,51,1
teplomilný,31,31,1
teploměr,41,41,1
teplá,32,32,1
teplý,35,35,1
tepna,37,37,1
terapie,51,51,1
terorismus,33,33,1
terorista,37,37,1
teroristka,36,36,1
teréňák,34,34,1
tesař,46,46,1
