Response_ID,Progress,duration,participant_gender_category,participant_gender_category_other,participant_age,participant_language,participant_language_other,participant_education,participant_gender_scale,participant_political_scale,participant_optimism_scale,participant_location_scale,Device,survey_version,timing_gender,timing_valence,timing_political,timing_location,timing_age,version,participant_sample
R_273XTBoWtxO6pRU,100,1825,female,NA,42,Czech,NA,university,2,-2,2,2,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_2WYhcwoJHNSM7lT,100,4824,female,NA,20,Czech,NA,high school,2,1,0,-1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_2xzwx7voehytuVM,100,2265,female,NA,23,Czech,NA,university,3,-2,2,2,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_6xRDr2uvFjS49QB,100,2330,female,NA,21,Czech,NA,high school,2,1,1,2,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_W0NML96o1Klf0BP,100,2451,male,NA,21,Czech,NA,high school,-2,-1,-1,1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_1NmpCMv4063dUL6,100,34144,female,NA,22,Czech,NA,high school,2,-1,0,1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_0OLPFBXS6ffETXb,100,1252,female,NA,35,Czech,NA,university,2,-1,3,3,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_3kvRSspTLQnh2pL,100,2992,female,NA,22,Czech,NA,high school,3,-1,0,1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_1oAVmOUvwZpPObD,100,2197,female,NA,23,jiné (prosím upřesněte níže),Ruština,university,2,2,-1,2,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_3Rr2mNPcZsThX3z,100,2489,female,NA,20,Czech,NA,high school,2,-1,-1,3,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_24vXqLbW5cgTk00,100,2060,female,NA,21,Czech,NA,high school,3,2,1,1,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_1l3q78hPR7GkgXM,100,1274,female,NA,20,Czech,NA,high school,2,0,1,1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_DAD7BuDo8XQbfYR,100,3722,female,NA,22,Czech,NA,high school,2,1,1,-1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_2ROgcHU2hmuFw42,100,1780,female,NA,20,Czech,NA,high school,0,0,-2,2,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_V2wMYTHws7iKohP,100,2326,female,NA,28,Czech,NA,university,2,2,1,-2,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_1pne3eLbCyIkdcP,100,3068,female,NA,25,Czech,NA,university,2,0,-2,2,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_qxNXm2Bx77WiXBL,100,1825,male,NA,19,Czech,NA,high school,-2,2,2,-1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_2aCteu1QmHZm42g,100,1771,female,NA,22,Czech,NA,university,2,-1,2,0,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_2qmyBwL8tf3nlGh,100,2844,male,NA,22,Czech,NA,high school,-2,1,-1,-1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_1f2gmE0oK71LdTe,100,2750,female,NA,21,Czech,NA,high school,2,-1,1,0,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_tEAfoctN11vdfJT,100,1295,female,NA,20,Czech,NA,high school,3,0,0,0,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_27ffTt5UhPtShAi,100,1630,non-binary,NA,21,Czech,NA,high school,0,-2,0,1,not_mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_1pM48xAFbitxnoG,100,1513,female,NA,23,Czech,NA,high school,3,0,1,0,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
R_2ZHr5qcFR27B6zE,100,1530,female,NA,22,Czech,NA,university,2,-3,2,1,mobile,PRIMUS_multipic_gray05,NA,NA,NA,NA,NA,cz_gray,university
