item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
žralok,PICTURE_533,1,žralok,shark,m,a,cz,words,noun,image_317,multipic
netopýr,PICTURE_547,1,netopýr,bat (animal),m,a,cz,words,noun,image_327,multipic
had,PICTURE_549,1,had,snake,m,a,cz,words,noun,image_328,multipic
vlk,PICTURE_557,1,vlk,wolf,m,a,cz,words,noun,image_334,multipic
housenka,PICTURE_561,1,housenka,caterpillar,f,a,cz,words,noun,image_339,multipic
sup,PICTURE_563,1,sup,vulture,m,a,cz,words,noun,image_341,multipic
slon,PICTURE_579,1,slon,elephant,m,a,cz,words,noun,image_356,multipic
ropucha,PICTURE_584,1,ropucha,toad,f,a,cz,words,noun,image_359,multipic
mravenec,PICTURE_585,1,mravenec,ant,m,a,cz,words,noun,image_360,multipic
koala,PICTURE_601,1,koala,koala,f,a,cz,words,noun,image_373,multipic
kočka,PICTURE_606,1,kočka,cat,f,a,cz,words,noun,image_376,multipic
žába,PICTURE_612,1,žába,frog,f,a,cz,words,noun,image_383,multipic
vosa,PICTURE_062,1,vosa,wasp,f,a,cz,words,noun,image_388,multipic
osel,PICTURE_624,1,osel,donkey,m,a,cz,words,noun,image_391,multipic
medvěd,PICTURE_637,1,medvěd,bear,m,a,cz,words,noun,image_400,multipic
pelikán,PICTURE_662,1,pelikán,pelican,m,a,cz,words,noun,image_416,multipic
včela,PICTURE_672,1,včela,bee,f,a,cz,words,noun,image_423,multipic
tučňák,PICTURE_682,1,tučňák,penguin,m,a,cz,words,noun,image_432,multipic
pes,PICTURE_707,1,pes,dog,m,a,cz,words,noun,image_450,multipic
šimpanz,PICTURE_708,1,šimpanz,monkey,m,a,cz,words,noun,image_451,multipic
velryba,PICTURE_724,1,velryba,whale,f,a,cz,words,noun,image_461,multipic
velbloud,PICTURE_077,1,velbloud,camel,m,a,cz,words,noun,image_480,multipic
tuleň,PICTURE_092,1,tuleň,seal (animal),m,a,cz,words,noun,image_496,multipic
tygr,PICTURE_098,1,tygr,tiger,m,a,cz,words,noun,image_499,multipic
PICTURE_001,PICTURE_001,1,myš,mouse,f,a,cz,colour,noun,image_1,multipic
PICTURE_111,PICTURE_111,1,drak,dragon,m,a,cz,colour,noun,image_12,multipic
PICTURE_115,PICTURE_115,1,hroch,hippo,m,a,cz,colour,noun,image_16,multipic
PICTURE_117,PICTURE_117,1,kůň,horse,m,a,cz,colour,noun,image_18,multipic
PICTURE_137,PICTURE_137,1,krysa,rat,f,a,cz,colour,noun,image_30,multipic
PICTURE_152,PICTURE_152,1,šnek,snail,m,a,cz,colour,noun,image_43,multipic
