item,image,multiple,word_czech,word_english,semantic_category,grammatical_gender,animacy,language,version,pos,item_ID,role_noun,animal_person,source,pos_category
tučňák,PICTURE_682,1,tučňák,penguin,animal,m,a,cz,words,noun,image_432,0,2,multipic,NA
pes,PICTURE_707,1,pes,dog,animal,m,a,cz,words,noun,image_450,0,2,multipic,NA
šimpanz,PICTURE_708,1,šimpanz,monkey,animal,m,a,cz,words,noun,image_451,0,2,multipic,NA
velryba,PICTURE_724,1,velryba,whale,animal,f,a,cz,words,noun,image_461,0,2,multipic,NA
velbloud,PICTURE_077,1,velbloud,camel,animal,m,a,cz,words,noun,image_480,0,2,multipic,NA
tuleň,PICTURE_092,1,tuleň,seal (animal),animal,m,a,cz,words,noun,image_496,0,2,multipic,NA
tygr,PICTURE_098,1,tygr,tiger,animal,m,a,cz,words,noun,image_499,0,2,multipic,NA
PICTURE_001,PICTURE_001,1,myš,mouse,animal,f,a,cz,colour,noun,image_1,0,2,multipic,NA
PICTURE_111,PICTURE_111,1,drak,dragon,animal,m,a,cz,colour,noun,image_12,0,2,multipic,NA
PICTURE_115,PICTURE_115,1,hroch,hippo,animal,m,a,cz,colour,noun,image_16,0,2,multipic,NA
PICTURE_117,PICTURE_117,1,kůň,horse,animal,m,a,cz,colour,noun,image_18,0,2,multipic,NA
PICTURE_137,PICTURE_137,1,krysa,rat,animal,f,a,cz,colour,noun,image_30,0,2,multipic,NA
PICTURE_152,PICTURE_152,1,šnek,snail,animal,m,a,cz,colour,noun,image_43,0,2,multipic,NA
PICTURE_172,PICTURE_172,1,papoušek,parrot,animal,m,a,cz,colour,noun,image_59,0,2,multipic,NA
PICTURE_189,PICTURE_189,1,krokodýl,crocodile,animal,m,a,cz,colour,noun,image_69,0,2,multipic,NA
PICTURE_019,PICTURE_019,1,krocan,turkey (animal),animal,m,a,cz,colour,noun,image_70,0,2,multipic,NA
PICTURE_193,PICTURE_193,1,medúza,jellyfish,animal,f,a,cz,colour,noun,image_74,0,2,multipic,NA
PICTURE_220,PICTURE_220,1,racek,seagull,animal,m,a,cz,colour,noun,image_90,0,2,multipic,NA
PICTURE_232,PICTURE_232,1,lama,llama,animal,f,a,cz,colour,noun,image_100,0,2,multipic,NA
PICTURE_236,PICTURE_236,1,žirafa,giraffe,animal,f,a,cz,colour,noun,image_104,0,2,multipic,NA
PICTURE_252,PICTURE_252,1,ještěrka,lizard,animal,f,a,cz,colour,noun,image_117,0,2,multipic,NA
PICTURE_269,PICTURE_269,1,chameleon,chameleon,animal,m,a,cz,colour,noun,image_130,0,2,multipic,NA
PICTURE_271,PICTURE_271,1,králík,rabbit,animal,m,a,cz,colour,noun,image_132,0,2,multipic,NA
PICTURE_282,PICTURE_282,1,nosorožec,rhino,animal,m,a,cz,colour,noun,image_139,0,2,multipic,NA
PICTURE_293,PICTURE_293,1,dinosaurus,dinosaur,animal,m,a,cz,colour,noun,image_149,0,2,multipic,NA
PICTURE_299,PICTURE_299,1,pštros,ostrich,animal,m,a,cz,colour,noun,image_153,0,2,multipic,NA
PICTURE_323,PICTURE_323,1,sova,owl,animal,f,a,cz,colour,noun,image_171,0,2,multipic,NA
PICTURE_324,PICTURE_324,1,ryba,fish dish,animal,f,a,cz,colour,noun,image_172,0,2,multipic,NA
PICTURE_330,PICTURE_330,1,krokodýl,crocodile,animal,m,a,cz,colour,noun,image_175,0,2,multipic,NA
PICTURE_351,PICTURE_351,1,motýl,butterfly,animal,m,a,cz,colour,noun,image_190,0,2,multipic,NA
PICTURE_354,PICTURE_354,1,koza,goat,animal,f,a,cz,colour,noun,image_192,0,2,multipic,NA
PICTURE_361,PICTURE_361,1,delfín,dolphin,animal,m,a,cz,colour,noun,image_196,0,2,multipic,NA
PICTURE_365,PICTURE_365,1,ježek,hedgehog,animal,m,a,cz,colour,noun,image_199,0,2,multipic,NA
PICTURE_370,PICTURE_370,1,štír,scorpion,animal,m,a,cz,colour,noun,image_203,0,2,multipic,NA
PICTURE_378,PICTURE_378,1,rak,lobster,animal,m,a,cz,colour,noun,image_206,0,2,multipic,NA
PICTURE_379,PICTURE_379,1,zebra,zebra,animal,f,a,cz,colour,noun,image_207,0,2,multipic,NA
PICTURE_038,PICTURE_038,1,pavouk,spider,animal,m,a,cz,colour,noun,image_208,0,2,multipic,NA
PICTURE_380,PICTURE_380,1,gorila,gorilla,animal,f,a,cz,colour,noun,image_209,0,2,multipic,NA
PICTURE_404,PICTURE_404,1,vážka,dragonfly,animal,f,a,cz,colour,noun,image_224,0,2,multipic,NA
PICTURE_428,PICTURE_428,1,krab,crab,animal,m,a,cz,colour,noun,image_242,0,2,multipic,NA
PICTURE_430,PICTURE_430,1,pták,bird,animal,m,a,cz,colour,noun,image_244,0,2,multipic,NA
PICTURE_446,PICTURE_446,1,prase,pig,animal,n,a,cz,colour,noun,image_252,0,2,multipic,NA
PICTURE_454,PICTURE_454,1,slepice,chicken,animal,f,a,cz,colour,noun,image_259,0,2,multipic,NA
PICTURE_462,PICTURE_462,1,moucha,fly (insect),animal,f,a,cz,colour,noun,image_266,0,2,multipic,NA
PICTURE_479,PICTURE_479,1,klokan,kangaroo,animal,m,a,cz,colour,noun,image_278,0,2,multipic,NA
PICTURE_484,PICTURE_484,1,veverka,squirrel,animal,f,a,cz,colour,noun,image_282,0,2,multipic,NA
PICTURE_493,PICTURE_493,1,skunk,skunk,animal,m,a,cz,colour,noun,image_287,0,2,multipic,NA
PICTURE_521,PICTURE_521,1,liška,fox,animal,f,a,cz,colour,noun,image_308,0,2,multipic,NA
PICTURE_528,PICTURE_528,1,labuť,swan,animal,f,a,cz,colour,noun,image_311,0,2,multipic,NA
PICTURE_529,PICTURE_529,1,mrož,walrus,animal,m,a,cz,colour,noun,image_312,0,2,multipic,NA
PICTURE_531,PICTURE_531,1,želva,turtle,animal,f,a,cz,colour,noun,image_315,0,2,multipic,NA
PICTURE_533,PICTURE_533,1,žralok,shark,animal,m,a,cz,colour,noun,image_317,0,2,multipic,NA
PICTURE_547,PICTURE_547,1,netopýr,bat (animal),animal,m,a,cz,colour,noun,image_327,0,2,multipic,NA
PICTURE_549,PICTURE_549,1,had,snake,animal,m,a,cz,colour,noun,image_328,0,2,multipic,NA
PICTURE_557,PICTURE_557,1,vlk,wolf,animal,m,a,cz,colour,noun,image_334,0,2,multipic,NA
PICTURE_561,PICTURE_561,1,housenka,caterpillar,animal,f,a,cz,colour,noun,image_339,0,2,multipic,NA
PICTURE_563,PICTURE_563,1,sup,vulture,animal,m,a,cz,colour,noun,image_341,0,2,multipic,NA
PICTURE_579,PICTURE_579,1,slon,elephant,animal,m,a,cz,colour,noun,image_356,0,2,multipic,NA
PICTURE_584,PICTURE_584,1,ropucha,toad,animal,f,a,cz,colour,noun,image_359,0,2,multipic,NA
PICTURE_585,PICTURE_585,1,mravenec,ant,animal,m,a,cz,colour,noun,image_360,0,2,multipic,NA
PICTURE_601,PICTURE_601,1,koala,koala,animal,f,a,cz,colour,noun,image_373,0,2,multipic,NA
PICTURE_606,PICTURE_606,1,kočka,cat,animal,f,a,cz,colour,noun,image_376,0,2,multipic,NA
PICTURE_612,PICTURE_612,1,žába,frog,animal,f,a,cz,colour,noun,image_383,0,2,multipic,NA
PICTURE_062,PICTURE_062,1,vosa,wasp,animal,f,a,cz,colour,noun,image_388,0,2,multipic,NA
PICTURE_624,PICTURE_624,1,osel,donkey,animal,m,a,cz,colour,noun,image_391,0,2,multipic,NA
PICTURE_637,PICTURE_637,1,medvěd,bear,animal,m,a,cz,colour,noun,image_400,0,2,multipic,NA
PICTURE_662,PICTURE_662,1,pelikán,pelican,animal,m,a,cz,colour,noun,image_416,0,2,multipic,NA
PICTURE_672,PICTURE_672,1,včela,bee,animal,f,a,cz,colour,noun,image_423,0,2,multipic,NA
PICTURE_682,PICTURE_682,1,tučňák,penguin,animal,m,a,cz,colour,noun,image_432,0,2,multipic,NA
PICTURE_707,PICTURE_707,1,pes,dog,animal,m,a,cz,colour,noun,image_450,0,2,multipic,NA
PICTURE_708,PICTURE_708,1,šimpanz,monkey,animal,m,a,cz,colour,noun,image_451,0,2,multipic,NA
PICTURE_724,PICTURE_724,1,velryba,whale,animal,f,a,cz,colour,noun,image_461,0,2,multipic,NA
PICTURE_077,PICTURE_077,1,velbloud,camel,animal,m,a,cz,colour,noun,image_480,0,2,multipic,NA
PICTURE_092,PICTURE_092,1,tuleň,seal (animal),animal,m,a,cz,colour,noun,image_496,0,2,multipic,NA
PICTURE_098,PICTURE_098,1,tygr,tiger,animal,m,a,cz,colour,noun,image_499,0,2,multipic,NA
PICTURE_001,PICTURE_001,1,myš,mouse,animal,f,a,cz,gray,noun,image_1,0,2,multipic,NA
PICTURE_111,PICTURE_111,1,drak,dragon,animal,m,a,cz,gray,noun,image_12,0,2,multipic,NA
PICTURE_115,PICTURE_115,1,hroch,hippo,animal,m,a,cz,gray,noun,image_16,0,2,multipic,NA
PICTURE_117,PICTURE_117,1,kůň,horse,animal,m,a,cz,gray,noun,image_18,0,2,multipic,NA
PICTURE_137,PICTURE_137,1,krysa,rat,animal,f,a,cz,gray,noun,image_30,0,2,multipic,NA
PICTURE_152,PICTURE_152,1,šnek,snail,animal,m,a,cz,gray,noun,image_43,0,2,multipic,NA
PICTURE_172,PICTURE_172,1,papoušek,parrot,animal,m,a,cz,gray,noun,image_59,0,2,multipic,NA
PICTURE_189,PICTURE_189,1,krokodýl,crocodile,animal,m,a,cz,gray,noun,image_69,0,2,multipic,NA
PICTURE_019,PICTURE_019,1,krocan,turkey (animal),animal,m,a,cz,gray,noun,image_70,0,2,multipic,NA
PICTURE_193,PICTURE_193,1,medúza,jellyfish,animal,f,a,cz,gray,noun,image_74,0,2,multipic,NA
PICTURE_220,PICTURE_220,1,racek,seagull,animal,m,a,cz,gray,noun,image_90,0,2,multipic,NA
PICTURE_232,PICTURE_232,1,lama,llama,animal,f,a,cz,gray,noun,image_100,0,2,multipic,NA
PICTURE_236,PICTURE_236,1,žirafa,giraffe,animal,f,a,cz,gray,noun,image_104,0,2,multipic,NA
PICTURE_252,PICTURE_252,1,ještěrka,lizard,animal,f,a,cz,gray,noun,image_117,0,2,multipic,NA
PICTURE_269,PICTURE_269,1,chameleon,chameleon,animal,m,a,cz,gray,noun,image_130,0,2,multipic,NA
PICTURE_271,PICTURE_271,1,králík,rabbit,animal,m,a,cz,gray,noun,image_132,0,2,multipic,NA
PICTURE_282,PICTURE_282,1,nosorožec,rhino,animal,m,a,cz,gray,noun,image_139,0,2,multipic,NA
PICTURE_293,PICTURE_293,1,dinosaurus,dinosaur,animal,m,a,cz,gray,noun,image_149,0,2,multipic,NA
PICTURE_299,PICTURE_299,1,pštros,ostrich,animal,m,a,cz,gray,noun,image_153,0,2,multipic,NA
PICTURE_323,PICTURE_323,1,sova,owl,animal,f,a,cz,gray,noun,image_171,0,2,multipic,NA
PICTURE_324,PICTURE_324,1,ryba,fish dish,animal,f,a,cz,gray,noun,image_172,0,2,multipic,NA
PICTURE_330,PICTURE_330,1,krokodýl,crocodile,animal,m,a,cz,gray,noun,image_175,0,2,multipic,NA
PICTURE_351,PICTURE_351,1,motýl,butterfly,animal,m,a,cz,gray,noun,image_190,0,2,multipic,NA
PICTURE_354,PICTURE_354,1,koza,goat,animal,f,a,cz,gray,noun,image_192,0,2,multipic,NA
PICTURE_361,PICTURE_361,1,delfín,dolphin,animal,m,a,cz,gray,noun,image_196,0,2,multipic,NA
PICTURE_365,PICTURE_365,1,ježek,hedgehog,animal,m,a,cz,gray,noun,image_199,0,2,multipic,NA
PICTURE_370,PICTURE_370,1,štír,scorpion,animal,m,a,cz,gray,noun,image_203,0,2,multipic,NA
PICTURE_378,PICTURE_378,1,rak,lobster,animal,m,a,cz,gray,noun,image_206,0,2,multipic,NA
PICTURE_379,PICTURE_379,1,zebra,zebra,animal,f,a,cz,gray,noun,image_207,0,2,multipic,NA
PICTURE_038,PICTURE_038,1,pavouk,spider,animal,m,a,cz,gray,noun,image_208,0,2,multipic,NA
PICTURE_380,PICTURE_380,1,gorila,gorilla,animal,f,a,cz,gray,noun,image_209,0,2,multipic,NA
PICTURE_404,PICTURE_404,1,vážka,dragonfly,animal,f,a,cz,gray,noun,image_224,0,2,multipic,NA
PICTURE_428,PICTURE_428,1,krab,crab,animal,m,a,cz,gray,noun,image_242,0,2,multipic,NA
PICTURE_430,PICTURE_430,1,pták,bird,animal,m,a,cz,gray,noun,image_244,0,2,multipic,NA
PICTURE_446,PICTURE_446,1,prase,pig,animal,n,a,cz,gray,noun,image_252,0,2,multipic,NA
PICTURE_454,PICTURE_454,1,slepice,chicken,animal,f,a,cz,gray,noun,image_259,0,2,multipic,NA
PICTURE_462,PICTURE_462,1,moucha,fly (insect),animal,f,a,cz,gray,noun,image_266,0,2,multipic,NA
PICTURE_479,PICTURE_479,1,klokan,kangaroo,animal,m,a,cz,gray,noun,image_278,0,2,multipic,NA
PICTURE_484,PICTURE_484,1,veverka,squirrel,animal,f,a,cz,gray,noun,image_282,0,2,multipic,NA
PICTURE_493,PICTURE_493,1,skunk,skunk,animal,m,a,cz,gray,noun,image_287,0,2,multipic,NA
PICTURE_521,PICTURE_521,1,liška,fox,animal,f,a,cz,gray,noun,image_308,0,2,multipic,NA
PICTURE_528,PICTURE_528,1,labuť,swan,animal,f,a,cz,gray,noun,image_311,0,2,multipic,NA
PICTURE_529,PICTURE_529,1,mrož,walrus,animal,m,a,cz,gray,noun,image_312,0,2,multipic,NA
PICTURE_531,PICTURE_531,1,želva,turtle,animal,f,a,cz,gray,noun,image_315,0,2,multipic,NA
PICTURE_533,PICTURE_533,1,žralok,shark,animal,m,a,cz,gray,noun,image_317,0,2,multipic,NA
PICTURE_547,PICTURE_547,1,netopýr,bat (animal),animal,m,a,cz,gray,noun,image_327,0,2,multipic,NA
PICTURE_549,PICTURE_549,1,had,snake,animal,m,a,cz,gray,noun,image_328,0,2,multipic,NA
PICTURE_557,PICTURE_557,1,vlk,wolf,animal,m,a,cz,gray,noun,image_334,0,2,multipic,NA
PICTURE_561,PICTURE_561,1,housenka,caterpillar,animal,f,a,cz,gray,noun,image_339,0,2,multipic,NA
PICTURE_563,PICTURE_563,1,sup,vulture,animal,m,a,cz,gray,noun,image_341,0,2,multipic,NA
PICTURE_579,PICTURE_579,1,slon,elephant,animal,m,a,cz,gray,noun,image_356,0,2,multipic,NA
PICTURE_584,PICTURE_584,1,ropucha,toad,animal,f,a,cz,gray,noun,image_359,0,2,multipic,NA
PICTURE_585,PICTURE_585,1,mravenec,ant,animal,m,a,cz,gray,noun,image_360,0,2,multipic,NA
PICTURE_601,PICTURE_601,1,koala,koala,animal,f,a,cz,gray,noun,image_373,0,2,multipic,NA
PICTURE_606,PICTURE_606,1,kočka,cat,animal,f,a,cz,gray,noun,image_376,0,2,multipic,NA
PICTURE_612,PICTURE_612,1,žába,frog,animal,f,a,cz,gray,noun,image_383,0,2,multipic,NA
PICTURE_062,PICTURE_062,1,vosa,wasp,animal,f,a,cz,gray,noun,image_388,0,2,multipic,NA
PICTURE_624,PICTURE_624,1,osel,donkey,animal,m,a,cz,gray,noun,image_391,0,2,multipic,NA
PICTURE_637,PICTURE_637,1,medvěd,bear,animal,m,a,cz,gray,noun,image_400,0,2,multipic,NA
PICTURE_662,PICTURE_662,1,pelikán,pelican,animal,m,a,cz,gray,noun,image_416,0,2,multipic,NA
PICTURE_672,PICTURE_672,1,včela,bee,animal,f,a,cz,gray,noun,image_423,0,2,multipic,NA
PICTURE_682,PICTURE_682,1,tučňák,penguin,animal,m,a,cz,gray,noun,image_432,0,2,multipic,NA
PICTURE_707,PICTURE_707,1,pes,dog,animal,m,a,cz,gray,noun,image_450,0,2,multipic,NA
